number,values_0,values_1,datetime_start,datetime_complete,duration,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,state
0,0.4824793741803941,0.4618775100549184,2026-09-20 13:40:15.583565,2026-09-20 13:40:16.488790,0 days 00:00:00.905225,,gini,21,,5,20,COMPLETE
1,0.42320206516493486,0.351451034547744,2026-09-20 13:40:16.489991,2026-09-20 13:40:16.985506,0 days 00:00:00.495515,,gini,27,log2,1,13,COMPLETE
2,0.4786608004678825,0.44864524833706815,2026-09-20 13:40:16.987122,2026-09-20 13:40:17.599239,0 days 00:00:00.612117,balanced,log_loss,26,sqrt,6,13,COMPLETE
3,0.4822255566323677,0.493445733584232,2026-09-20 13:40:17.600519,2026-09-20 13:40:18.255184,0 days 00:00:00.654665,,log_loss,6,,5,12,COMPLETE
4,0.4496533380794707,0.48213203856188364,2026-09-20 13:40:18.256386,2026-09-20 13:40:18.842477,0 days 00:00:00.586091,,entropy,18,sqrt,7,2,COMPLETE
5,0.4499742458533027,0.4942675937272272,2026-09-20 13:40:18.843493,2026-09-20 13:40:19.366556,0 days 00:00:00.523063,,gini,20,sqrt,9,20,COMPLETE
6,0.3307003462827078,0.38955140107898695,2026-09-20 13:40:19.367776,2026-09-20 13:40:19.830517,0 days 00:00:00.462741,,entropy,12,log2,4,19,COMPLETE
7,0.28897365035395123,0.17106867224918432,2026-09-20 13:40:19.831627,2026-09-20 13:40:20.288011,0 days 00:00:00.456384,balanced,gini,3,log2,5,11,COMPLETE
8,0.4694008140708033,0.4169706611855723,2026-09-20 13:40:20.288968,2026-09-20 13:40:21.318100,0 days 00:00:01.029132,,gini,19,,4,9,COMPLETE
9,0.48158072514756595,0.47579260361162273,2026-09-20 13:40:21.319172,2026-09-20 13:40:21.909872,0 days 00:00:00.590700,balanced,gini,30,sqrt,8,7,COMPLETE
10,0.4223486400391136,0.4530157012580624,2026-09-20 13:40:21.910900,2026-09-20 13:40:22.485564,0 days 00:00:00.574664,balanced,log_loss,4,,1,16,COMPLETE
11,0.41963503023630205,0.4745952500331138,2026-09-20 13:40:22.486644,2026-09-20 13:40:23.021875,0 days 00:00:00.535231,,log_loss,10,sqrt,10,5,COMPLETE
12,0.4784439400898251,0.5129820821154242,2026-09-20 13:40:23.023458,2026-09-20 13:40:23.976552,0 days 00:00:00.953094,,log_loss,12,,9,17,COMPLETE
13,0.4519663862488681,0.5127737620086658,2026-09-20 13:40:23.977715,2026-09-20 13:40:24.653753,0 days 00:00:00.676038,,log_loss,10,,10,16,COMPLETE
14,0.4711432390967603,0.5073043182261682,2026-09-20 13:40:24.655430,2026-09-20 13:40:25.284744,0 days 00:00:00.629314,,log_loss,7,,3,16,COMPLETE
15,0.4895124683474929,0.48553510366788144,2026-09-20 13:40:25.285701,2026-09-20 13:40:26.212962,0 days 00:00:00.927261,,log_loss,15,,8,13,COMPLETE
16,0.48652386986810664,0.48635823532998296,2026-09-20 13:40:26.214570,2026-09-20 13:40:27.041865,0 days 00:00:00.827295,,log_loss,15,,8,17,COMPLETE
17,0.4895124683474929,0.48553510366788144,2026-09-20 13:40:27.042913,2026-09-20 13:40:27.813982,0 days 00:00:00.771069,,log_loss,15,,8,14,COMPLETE
18,0.5284893593300898,0.48869098477694745,2026-09-20 13:40:27.815110,2026-09-20 13:40:28.532682,0 days 00:00:00.717572,balanced,entropy,15,,9,10,COMPLETE
19,0.5306996229842267,0.4674579582527088,2026-09-20 13:40:28.534315,2026-09-20 13:40:29.364924,0 days 00:00:00.830609,balanced,entropy,23,,9,10,COMPLETE
