number,value,datetime_start,datetime_complete,duration,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,system_attrs_tpe:relative_params:0,state
0,0.5211201444982083,2026-09-20 13:13:39.347774,2026-09-20 13:13:42.213377,0 days 00:00:02.865603,balanced,entropy,22,,4,6,,COMPLETE
1,0.3777085861919766,2026-09-20 13:13:42.215737,2026-09-20 13:13:44.297315,0 days 00:00:02.081578,,log_loss,16,log2,7,18,,COMPLETE
2,0.4703821412531477,2026-09-20 13:13:44.298550,2026-09-20 13:13:46.129291,0 days 00:00:01.830741,,entropy,29,sqrt,8,15,,COMPLETE
3,0.2774043037041262,2026-09-20 13:13:46.132823,2026-09-20 13:13:47.878878,0 days 00:00:01.746055,,gini,4,sqrt,9,19,,COMPLETE
4,0.4705845025259416,2026-09-20 13:13:47.881170,2026-09-20 13:13:49.613069,0 days 00:00:01.731899,,gini,11,,5,17,,COMPLETE
5,0.41032874425229365,2026-09-20 13:13:49.615097,2026-09-20 13:13:51.278882,0 days 00:00:01.663785,,gini,10,sqrt,10,8,,COMPLETE
6,0.4371497638158525,2026-09-20 13:13:51.280737,2026-09-20 13:13:53.180436,0 days 00:00:01.899699,balanced,gini,15,log2,1,5,,COMPLETE
7,0.41422814673181324,2026-09-20 13:13:53.181675,2026-09-20 13:13:53.479880,0 days 00:00:00.298205,balanced,log_loss,16,log2,5,2,,COMPLETE
8,0.03383213634901919,2026-09-20 13:13:53.481242,2026-09-20 13:13:53.759740,0 days 00:00:00.278498,,entropy,4,sqrt,2,11,,COMPLETE
9,0.4468423229053968,2026-09-20 13:13:53.760853,2026-09-20 13:13:54.075553,0 days 00:00:00.314700,balanced,gini,13,log2,5,17,,COMPLETE
10,0.5113293247668369,2026-09-20 13:13:54.077051,2026-09-20 13:13:54.538895,0 days 00:00:00.461844,balanced,entropy,29,,3,10,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 29, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",COMPLETE
11,0.4981354232520676,2026-09-20 13:13:54.540440,2026-09-20 13:13:54.963055,0 days 00:00:00.422615,balanced,entropy,30,,2,9,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 30, ""max_features"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 9}",COMPLETE
12,0.48848786882569045,2026-09-20 13:13:54.964306,2026-09-20 13:13:55.458628,0 days 00:00:00.494322,balanced,entropy,23,,1,5,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 23, ""max_features"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",COMPLETE
13,0.5229095429364335,2026-09-20 13:13:55.460764,2026-09-20 13:13:55.885612,0 days 00:00:00.424848,balanced,entropy,20,,4,12,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 20, ""max_features"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 12}",COMPLETE
14,0.4656132118652607,2026-09-20 13:13:55.888798,2026-09-20 13:13:56.280361,0 days 00:00:00.391563,balanced,entropy,19,sqrt,5,7,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 7}",COMPLETE
15,0.5214291844208915,2026-09-20 13:13:56.282950,2026-09-20 13:13:56.693743,0 days 00:00:00.410793,balanced,entropy,15,,4,10,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 15, ""max_features"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",COMPLETE
16,0.5129631388565684,2026-09-20 13:13:56.696490,2026-09-20 13:13:57.211542,0 days 00:00:00.515052,balanced,entropy,20,,2,12,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 20, ""max_features"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 12}",COMPLETE
17,0.5228735914747283,2026-09-20 13:13:57.212633,2026-09-20 13:13:57.646907,0 days 00:00:00.434274,balanced,entropy,15,,4,13,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 15, ""max_features"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 13}",COMPLETE
18,0.5227959359631212,2026-09-20 13:13:57.649238,2026-09-20 13:13:58.079861,0 days 00:00:00.430623,balanced,entropy,13,,5,14,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 13, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 14}",COMPLETE
19,0.48695218815958347,2026-09-20 13:13:58.081008,2026-09-20 13:13:58.441250,0 days 00:00:00.360242,balanced,entropy,7,,6,8,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 7, ""max_features"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 8}",COMPLETE
