number,values_0,values_1,datetime_start,datetime_complete,duration,params_C,params_class_weight,state
0,0.4493957628782809,0.5496954805862487,2026-09-20 13:38:58.822159,2026-09-20 13:38:59.411210,0 days 00:00:00.589051,2.496127494130903,,COMPLETE
1,0.5416037509988734,0.5372842184874639,2026-09-20 13:38:59.412052,2026-09-20 13:38:59.966078,0 days 00:00:00.554026,0.021384992723627597,balanced,COMPLETE
2,0.4500711169487854,0.5497277380216339,2026-09-20 13:38:59.968089,2026-09-20 13:39:00.597827,0 days 00:00:00.629738,6.042817315058874,,COMPLETE
3,0.40984223611066817,0.5417509671826019,2026-09-20 13:39:00.598824,2026-09-20 13:39:01.384110,0 days 00:00:00.785286,0.018295481850548745,,COMPLETE
4,0.5421588038167302,0.5388989570861069,2026-09-20 13:39:01.385867,2026-09-20 13:39:02.062523,0 days 00:00:00.676656,0.028911781114091695,balanced,COMPLETE
5,0.3436640131651698,0.5269095467525183,2026-09-20 13:39:02.064182,2026-09-20 13:39:02.723159,0 days 00:00:00.658977,0.005546046199325927,,COMPLETE
6,0.5476621031929716,0.5439855989259463,2026-09-20 13:39:02.724622,2026-09-20 13:39:03.407816,0 days 00:00:00.683194,2.444972144868084,balanced,COMPLETE
7,0.5475171643821976,0.5440017977567916,2026-09-20 13:39:03.409458,2026-09-20 13:39:04.005140,0 days 00:00:00.595682,5.847534732674548,balanced,COMPLETE
8,0.5421183542725138,0.5392077076031985,2026-09-20 13:39:04.007083,2026-09-20 13:39:04.631759,0 days 00:00:00.624676,0.031230221349290505,balanced,COMPLETE
9,0.5268575478152303,0.5094115577694986,2026-09-20 13:39:04.632643,2026-09-20 13:39:05.147394,0 days 00:00:00.514751,0.0018127150979867464,balanced,COMPLETE
10,0.5469887947704621,0.543631892136894,2026-09-20 13:39:05.148593,2026-09-20 13:39:05.718111,0 days 00:00:00.569518,0.3320916952254581,balanced,COMPLETE
11,0.4495666796714352,0.5495853514421104,2026-09-20 13:39:05.719062,2026-09-20 13:39:06.245073,0 days 00:00:00.526011,0.7738682499742366,,COMPLETE
12,0.4490836531013985,0.5495714325811892,2026-09-20 13:39:06.246031,2026-09-20 13:39:06.854613,0 days 00:00:00.608582,0.7300901536133184,,COMPLETE
13,0.4501416593276672,0.5497060257446545,2026-09-20 13:39:06.855694,2026-09-20 13:39:07.402602,0 days 00:00:00.546908,9.870614746380534,,COMPLETE
14,0.5464703565030202,0.5433761778717102,2026-09-20 13:39:07.403385,2026-09-20 13:39:08.122826,0 days 00:00:00.719441,0.209443920905418,balanced,COMPLETE
15,0.44956231537043045,0.5496101532992098,2026-09-20 13:39:08.123902,2026-09-20 13:39:08.814081,0 days 00:00:00.690179,2.2230677023930276,,COMPLETE
16,0.44915411528905547,0.5496955314566337,2026-09-20 13:39:08.815632,2026-09-20 13:39:09.388390,0 days 00:00:00.572758,2.5219833820619484,,COMPLETE
17,0.5460856670584043,0.5428182495593122,2026-09-20 13:39:09.389543,2026-09-20 13:39:09.972991,0 days 00:00:00.583448,0.11623908029118717,balanced,COMPLETE
18,0.4489809185434683,0.5495753658425045,2026-09-20 13:39:09.974096,2026-09-20 13:39:10.605564,0 days 00:00:00.631468,0.9797427381241276,,COMPLETE
19,0.5475171643821976,0.5439772550968797,2026-09-20 13:39:10.606741,2026-09-20 13:39:11.305427,0 days 00:00:00.698686,4.84997443357453,balanced,COMPLETE
