number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,system_attrs_tpe:relative_params:0,state
0,0.5475603574572929,2026-09-20 13:07:52.128249,2026-09-20 13:07:57.305956,0 days 00:00:05.177707,9.627638910946741,balanced,,COMPLETE
1,0.25654058206076824,2026-09-20 13:07:57.308744,2026-09-20 13:07:58.977911,0 days 00:00:01.669167,0.002024269308831571,,,COMPLETE
2,0.5465858424786026,2026-09-20 13:07:58.979606,2026-09-20 13:08:00.801665,0 days 00:00:01.822059,0.19010556814827834,balanced,,COMPLETE
3,0.5475045732622847,2026-09-20 13:08:00.804778,2026-09-20 13:08:02.680329,0 days 00:00:01.875551,2.8981182303142123,balanced,,COMPLETE
4,0.4456657302598667,2026-09-20 13:08:02.682207,2026-09-20 13:08:04.499187,0 days 00:00:01.816980,0.2411511788346036,,,COMPLETE
5,0.44912193731210276,2026-09-20 13:08:04.500624,2026-09-20 13:08:06.373347,0 days 00:00:01.872723,0.9431802447893795,,,COMPLETE
6,0.44898341086091803,2026-09-20 13:08:06.377744,2026-09-20 13:08:08.062959,0 days 00:00:01.685215,1.364794908076306,,,COMPLETE
7,0.5214089398180164,2026-09-20 13:08:08.064603,2026-09-20 13:08:08.369742,0 days 00:00:00.305139,0.0010519286845268505,balanced,,COMPLETE
8,0.4500006405590325,2026-09-20 13:08:08.372213,2026-09-20 13:08:08.676524,0 days 00:00:00.304311,8.848314389204665,,,COMPLETE
9,0.42232020250518937,2026-09-20 13:08:08.678520,2026-09-20 13:08:09.011652,0 days 00:00:00.333132,0.028054528770192256,,,COMPLETE
10,0.5406358741561238,2026-09-20 13:08:09.012651,2026-09-20 13:08:09.328773,0 days 00:00:00.316122,0.011778374618052189,balanced,"{""C"": 0.011778374618052189, ""class_weight"": ""balanced""}",COMPLETE
11,0.5473445961114575,2026-09-20 13:08:09.331705,2026-09-20 13:08:09.656498,0 days 00:00:00.324793,8.507188641730998,balanced,"{""C"": 8.507188641730998, ""class_weight"": ""balanced""}",COMPLETE
12,0.5477052926799951,2026-09-20 13:08:09.658332,2026-09-20 13:08:10.003308,0 days 00:00:00.344976,2.324230654314927,balanced,"{""C"": 2.324230654314927, ""class_weight"": ""balanced""}",COMPLETE
13,0.5469136382521823,2026-09-20 13:08:10.004809,2026-09-20 13:08:10.380658,0 days 00:00:00.375849,0.5735795995039941,balanced,"{""C"": 0.5735795995039941, ""class_weight"": ""balanced""}",COMPLETE
14,0.5475603574572929,2026-09-20 13:08:10.383323,2026-09-20 13:08:10.710675,0 days 00:00:00.327352,9.660198733510855,balanced,"{""C"": 9.660198733510855, ""class_weight"": ""balanced""}",COMPLETE
15,0.5472892691185309,2026-09-20 13:08:10.712822,2026-09-20 13:08:11.037253,0 days 00:00:00.324431,1.515060285128142,balanced,"{""C"": 1.515060285128142, ""class_weight"": ""balanced""}",COMPLETE
16,0.5473446465546564,2026-09-20 13:08:11.038246,2026-09-20 13:08:11.377383,0 days 00:00:00.339137,3.507979821250971,balanced,"{""C"": 3.507979821250971, ""class_weight"": ""balanced""}",COMPLETE
17,0.5457765244469138,2026-09-20 13:08:11.380513,2026-09-20 13:08:11.684456,0 days 00:00:00.303943,0.07505358066224492,balanced,"{""C"": 0.07505358066224492, ""class_weight"": ""balanced""}",COMPLETE
18,0.5469566211002302,2026-09-20 13:08:11.688267,2026-09-20 13:08:12.015854,0 days 00:00:00.327587,0.5108284517917225,balanced,"{""C"": 0.5108284517917225, ""class_weight"": ""balanced""}",COMPLETE
19,0.4495967541044698,2026-09-20 13:08:12.017261,2026-09-20 13:08:12.326251,0 days 00:00:00.308990,3.461588107805613,,"{""C"": 3.461588107805613, ""class_weight"": null}",COMPLETE
