number,values_0,values_1,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.5469201663656481,0.5748370803177222,2026-09-20 13:40:55.486664,2026-09-20 13:40:59.351040,0 days 00:00:03.864376,balanced,9,,9,4,200,COMPLETE
1,0.4991758213074389,0.5867259147850107,2026-09-20 13:40:59.352382,2026-09-20 13:41:06.689693,0 days 00:00:07.337311,,9,,9,5,350,COMPLETE
2,0.5715351865312408,0.5883751962554614,2026-09-20 13:41:06.690906,2026-09-20 13:41:12.413302,0 days 00:00:05.722396,balanced,12,,7,18,250,COMPLETE
3,0.5272663656797428,0.6010661628138981,2026-09-20 13:41:12.414983,2026-09-20 13:41:28.431938,0 days 00:00:16.016955,,27,,7,15,400,COMPLETE
4,0.5386951495779623,0.6025642103157008,2026-09-20 13:41:28.433720,2026-09-20 13:41:53.977829,0 days 00:00:25.544109,,23,,3,16,450,COMPLETE
5,0.42250204049968404,0.6123212805496521,2026-09-20 13:41:53.980099,2026-09-20 13:41:59.266646,0 days 00:00:05.286547,,17,sqrt,5,4,300,COMPLETE
6,0.522047371089613,0.5502184998865868,2026-09-20 13:41:59.269002,2026-09-20 13:42:03.656144,0 days 00:00:04.387142,balanced,6,sqrt,2,15,350,COMPLETE
7,0.5969398137045031,0.580113918374833,2026-09-20 13:42:03.657784,2026-09-20 13:42:22.546826,0 days 00:00:18.889042,balanced,21,,3,9,500,COMPLETE
8,0.5288551006999694,0.6007519200718499,2026-09-20 13:42:22.549365,2026-09-20 13:42:32.811246,0 days 00:00:10.261881,,17,,5,2,200,COMPLETE
9,0.5975340094264333,0.5771368109980425,2026-09-20 13:42:32.812998,2026-09-20 13:42:40.014013,0 days 00:00:07.201015,balanced,29,,3,9,200,COMPLETE
10,0.5481228068584997,0.5782043248088357,2026-09-20 13:42:40.015566,2026-09-20 13:42:41.676292,0 days 00:00:01.660726,balanced,14,log2,10,18,100,COMPLETE
11,0.40188025835759794,0.6141460014200746,2026-09-20 13:42:41.677310,2026-09-20 13:42:48.463006,0 days 00:00:06.785696,,23,log2,1,19,500,COMPLETE
12,0.5322220509904868,0.601170295247928,2026-09-20 13:42:48.464553,2026-09-20 13:43:12.854766,0 days 00:00:24.390213,,22,,4,10,500,COMPLETE
13,0.5958755654597411,0.6008077044547387,2026-09-20 13:43:12.856040,2026-09-20 13:43:19.980259,0 days 00:00:07.124219,balanced,23,log2,1,10,450,COMPLETE
14,0.5700596812393576,0.6000135690499976,2026-09-20 13:43:19.982476,2026-09-20 13:43:24.099937,0 days 00:00:04.117461,balanced,18,sqrt,6,6,300,COMPLETE
15,0.47384920161467886,0.6156374353446386,2026-09-20 13:43:24.102002,2026-09-20 13:43:29.693805,0 days 00:00:05.591803,,26,sqrt,1,12,400,COMPLETE
16,0.4221073098753389,0.6127759789736095,2026-09-20 13:43:29.695359,2026-09-20 13:43:35.417329,0 days 00:00:05.721970,,26,log2,1,12,400,COMPLETE
17,0.6014031078551051,0.6050142084635675,2026-09-20 13:43:35.419643,2026-09-20 13:43:41.071289,0 days 00:00:05.651646,balanced,29,sqrt,1,13,400,COMPLETE
18,0.46328131367346786,0.6143101547491584,2026-09-20 13:43:41.073031,2026-09-20 13:43:46.776581,0 days 00:00:05.703550,,30,sqrt,2,13,400,COMPLETE
19,0.5941045692415828,0.6044065614063876,2026-09-20 13:43:46.779155,2026-09-20 13:43:52.211549,0 days 00:00:05.432394,balanced,26,sqrt,2,12,350,COMPLETE
