Feature,Mean_Absolute_SHAP,Importance_Percentage
numeric__duration,1.0168653973732178,21.23333889662867
categorical__contact_unknown,0.43755563614356724,9.136673479465776
categorical__month_may,0.28482588568435474,5.9474976460907225
categorical__month_jul,0.28469656003747557,5.944797175315235
categorical__contact_cellular,0.25178924429827326,5.257653931898928
categorical__poutcome_unknown,0.23051084641897307,4.813336095422623
categorical__month_aug,0.21393987673597295,4.4673148658342985
categorical__housing_yes,0.19806073837677732,4.135739883503076
categorical__housing_no,0.19194622952083126,4.008061786618156
numeric__campaign,0.18266818894905068,3.814325447210609
categorical__month_nov,0.159597483958999,3.3325821418495023
categorical__poutcome_success,0.11147982688705944,2.3278291802879023
categorical__poutcome_failure,0.1064901005454162,2.2236378579287837
categorical__loan_yes,0.0844653576091519,1.7637354636837916
categorical__loan_no,0.08086750444710983,1.688608081350506
categorical__job_blue-collar,0.07666006637034181,1.6007518529830405
categorical__education_tertiary,0.07178914224050015,1.4990412597660172
categorical__education_primary,0.0714768198404013,1.4925196027370353
categorical__marital_married,0.06860985495541264,1.4326540225285318
categorical__month_oct,0.05275858853060858,1.1016610387884394
categorical__contact_telephone,0.052524059031840827,1.0967637885314672
categorical__month_jan,0.049831812502048684,1.0405465319427194
categorical__marital_single,0.04921710373146778,1.027710693805055
categorical__month_jun,0.044409284593275825,0.9273178066258502
categorical__job_admin.,0.037083182939250225,0.7743402349502713
categorical__job_retired,0.035591785499542804,0.7431981119626315
categorical__month_mar,0.03456416944476777,0.7217402867647047
categorical__job_services,0.027708453135041857,0.5785849112748978
categorical__job_student,0.026360436665741796,0.5504367506581395
categorical__poutcome_other,0.02546478842795979,0.5317345678381517
numeric__balance,0.024382970428592467,0.5091449426386147
categorical__job_housemaid,0.02063665321866353,0.43091745733113923
numeric__previous,0.02030530341041173,0.42399848576408816
categorical__job_technician,0.020229367870301558,0.4224128628668759
categorical__month_sep,0.02008701170461373,0.419440299617224
numeric__day,0.015485094032674047,0.32334687589064603
categorical__job_self-employed,0.01427998733925926,0.29818283855200495
categorical__education_secondary,0.014113027495831574,0.2946965217329
categorical__education_unknown,0.011373699146027818,0.2374961416720004
categorical__month_feb,0.011282333040810876,0.23558831052665138
numeric__pdays,0.010658454510274688,0.22256099707550486
categorical__month_dec,0.010071068525210778,0.21029569065814582
categorical__month_apr,0.009810286346428741,0.20485025373543791
categorical__job_entrepreneur,0.009785561204959407,0.20433396386124056
categorical__job_unknown,0.007332067354282519,0.15310214247485876
numeric__age,0.005535046029435651,0.1155782352856582
categorical__job_management,0.0022272616487949907,0.046507828393506076
categorical__default_yes,0.0008125629292384779,0.016967264394999782
categorical__default_no,0.00034583250939246925,0.0072213873068852855
categorical__job_unemployed,0.0003200857883163673,0.006683765655585065
categorical__marital_divorced,0.00012165699337534094,0.002540340320514833
