Feature,SHAP_Value,Absolute_SHAP,Direction
categorical__month_jan,-1.2670703219391073,1.2670703219391073,Supports non-subscription
categorical__contact_unknown,0.3165368084301556,0.3165368084301556,Supports subscription
categorical__housing_yes,0.24316376754417116,0.24316376754417116,Supports subscription
categorical__housing_no,0.23565684304069967,0.23565684304069967,Supports subscription
categorical__month_may,0.20216743289633407,0.20216743289633407,Supports subscription
categorical__contact_cellular,0.19362826888565915,0.19362826888565915,Supports subscription
categorical__month_jul,0.1901463106589796,0.1901463106589796,Supports subscription
numeric__campaign,0.1672384062311211,0.1672384062311211,Supports subscription
categorical__month_aug,0.1340139097981512,0.1340139097981512,Supports subscription
categorical__poutcome_unknown,-0.12470891918438977,0.12470891918438977,Supports non-subscription
categorical__education_tertiary,0.11740730201632588,0.11740730201632588,Supports subscription
categorical__marital_single,0.11597175906616417,0.11597175906616417,Supports subscription
categorical__marital_married,0.11313898749345518,0.11313898749345518,Supports subscription
categorical__month_nov,0.08931616408673614,0.08931616408673614,Supports subscription
categorical__loan_yes,0.05580840225781552,0.05580840225781552,Supports subscription
categorical__poutcome_success,-0.053837760990113746,0.053837760990113746,Supports non-subscription
categorical__poutcome_failure,0.05361030410471908,0.05361030410471908,Supports subscription
categorical__loan_no,0.05343120949838418,0.05343120949838418,Supports subscription
categorical__job_blue-collar,0.04640761682869515,0.04640761682869515,Supports subscription
categorical__education_primary,0.044429271470791946,0.044429271470791946,Supports subscription
numeric__duration,0.03858801775239882,0.03858801775239882,Supports subscription
categorical__month_oct,-0.03409370306202703,0.03409370306202703,Supports non-subscription
numeric__day,0.025666579213365005,0.025666579213365005,Supports subscription
numeric__balance,0.025240162197569565,0.025240162197569565,Supports subscription
categorical__contact_telephone,-0.024469376427023452,0.024469376427023452,Supports non-subscription
categorical__month_jun,-0.021685987299184403,0.021685987299184403,Supports non-subscription
categorical__job_admin.,-0.020803281448004553,0.020803281448004553,Supports non-subscription
categorical__month_mar,-0.017991353496172355,0.017991353496172355,Supports non-subscription
categorical__job_services,0.016587585435400818,0.016587585435400818,Supports subscription
categorical__job_retired,-0.014117545855941152,0.014117545855941152,Supports non-subscription
categorical__job_technician,0.013546665702838157,0.013546665702838157,Supports subscription
categorical__job_student,-0.013480598810628151,0.013480598810628151,Supports non-subscription
categorical__education_secondary,0.012685592454615417,0.012685592454615417,Supports subscription
categorical__poutcome_other,0.011401222010169718,0.011401222010169718,Supports subscription
categorical__job_housemaid,0.011057926586920966,0.011057926586920966,Supports subscription
numeric__previous,-0.009428032580002686,0.009428032580002686,Supports non-subscription
categorical__month_sep,-0.009254947105762723,0.009254947105762723,Supports non-subscription
numeric__age,0.009119246561983915,0.009119246561983915,Supports subscription
categorical__job_self-employed,0.007928163403053868,0.007928163403053868,Supports subscription
categorical__education_unknown,-0.007481026711027716,0.007481026711027716,Supports non-subscription
categorical__month_dec,-0.0068697799406707265,0.0068697799406707265,Supports non-subscription
categorical__job_entrepreneur,0.006568337331550951,0.006568337331550951,Supports subscription
categorical__job_management,-0.006315113899756756,0.006315113899756756,Supports non-subscription
categorical__job_unknown,0.006158446244601277,0.006158446244601277,Supports subscription
numeric__pdays,0.0060375181622967615,0.0060375181622967615,Supports subscription
categorical__month_feb,0.005370644716957962,0.005370644716957962,Supports subscription
categorical__month_apr,-0.004520019332081325,0.004520019332081325,Supports non-subscription
categorical__default_yes,0.00043564395382123536,0.00043564395382123536,Supports subscription
categorical__default_no,0.00018541313703898554,0.00018541313703898554,Supports subscription
categorical__job_unemployed,0.00013388851398050874,0.00013388851398050874,Supports subscription
categorical__marital_divorced,-5.8857468984033e-05,5.8857468984033e-05,Supports non-subscription
