Seed_1,Fold_1,Seed_2,Fold_2,Spearman_Correlation,P_Value
7,1,7,2,0.936923076923077,5.16208659362079e-24
7,1,7,3,0.8957466063348417,7.066336011298305e-19
7,1,21,1,0.9286877828054299,9.480744340198093e-23
7,1,21,2,0.9452488687782805,1.7725289434962225e-25
7,1,21,3,0.8884162895927601,3.422775009493317e-18
7,1,42,1,0.9127601809954751,1.0984344104268129e-20
7,1,42,2,0.9070588235294118,4.843896272064228e-20
7,1,42,3,0.9217194570135746,8.579373732819823e-22
7,1,52,1,0.921447963800905,9.309214442359548e-22
7,1,52,2,0.9184615384615384,2.242498917650236e-21
7,1,52,3,0.9325791855203619,2.5089406475734595e-23
7,1,100,1,0.9272398190045249,1.5253847700528343e-22
7,1,100,2,0.8975316185921242,4.727450211906442e-19
7,1,100,3,0.9039819004524887,1.0374596607142662e-19
7,2,7,3,0.9187330316742081,2.073138297520187e-21
7,2,21,1,0.9309502262443439,4.4184095542643073e-23
7,2,21,2,0.9174660633484162,2.983838162691281e-21
7,2,21,3,0.8806334841628959,1.6273182587071765e-17
7,2,42,1,0.9168325791855203,3.5719233666255334e-21
7,2,42,2,0.8980995475113122,4.1534810594406385e-19
7,2,42,3,0.9365610859728507,5.914054916718245e-24
7,2,52,1,0.925158371040724,2.971155931294214e-22
7,2,52,2,0.9335746606334842,1.7629979384088375e-23
7,2,52,3,0.9135746606334841,8.813120634898337e-21
7,2,100,1,0.9199999999999999,1.4318281668150328e-21
7,2,100,2,0.9097490895787577,2.4346245179139545e-20
7,2,100,3,0.9338461538461538,1.5997321914228303e-23
7,3,21,1,0.8941176470588235,1.0133700771798962e-18
7,3,21,2,0.8887782805429865,3.174498975893283e-18
7,3,21,3,0.8931221719457013,1.2595168414844702e-18
7,3,42,1,0.8929411764705882,1.3100087506596575e-18
7,3,42,2,0.9179185520361991,2.621721345473718e-21
7,3,42,3,0.910316742081448,2.0999097262737392e-20
7,3,52,1,0.9581900452488687,2.7810874928650396e-28
7,3,52,2,0.9110407239819004,1.7364399023948137e-20
7,3,52,3,0.9184615384615384,2.242498917650236e-21
7,3,100,1,0.9260633484162895,2.2288248519317603e-22
7,3,100,2,0.891151383743549,1.9250825712213677e-18
7,3,100,3,0.9406334841628958,1.2203610152611494e-24
21,1,21,2,0.908054298642534,3.7645526277024604e-20
21,1,21,3,0.8759276018099548,3.966854423779356e-17
21,1,42,1,0.9254298642533937,2.726690749792263e-22
21,1,42,2,0.918552036199095,2.1846276131503543e-21
21,1,42,3,0.9195475113122171,1.6353080692105187e-21
21,1,52,1,0.9152941176470588,5.496458402876794e-21
21,1,52,2,0.9316742081447964,3.441764817779335e-23
21,1,52,3,0.9002714932126696,2.513852875976731e-19
21,1,100,1,0.9279638009049773,1.204062285752491e-22
21,1,100,2,0.9185275687321166,2.2001316456262496e-21
21,1,100,3,0.8924886877828054,1.4448293517095394e-18
21,2,21,3,0.9048868778280543,8.314820683230351e-20
21,2,42,1,0.933393665158371,1.8805687468389394e-23
21,2,42,2,0.9182805429864253,2.362667117930399e-21
21,2,42,3,0.8886877828054298,3.2349051435463903e-18
21,2,52,1,0.9383710407239819,2.971916166202894e-24
21,2,52,2,0.9172850678733031,3.1416722195825214e-21
21,2,52,3,0.9204524886877828,1.2526833977916643e-21
21,2,100,1,0.924524886877828,3.6256923631153686e-22
21,2,100,2,0.9225095592759082,6.753586931192841e-22
21,2,100,3,0.8963800904977375,6.132048070653132e-19
21,3,42,1,0.8548416289592761,1.4398064644177495e-15
21,3,42,2,0.9167420814479638,3.6644805358201774e-21
21,3,42,3,0.8911312217194569,1.9333744707296144e-18
21,3,52,1,0.9226244343891402,6.521288640194206e-22
21,3,52,2,0.9128506787330317,1.0719960144404945e-20
21,3,52,3,0.9057918552036198,6.649197388540899e-20
21,3,100,1,0.8999095022624434,2.735462053932755e-19
21,3,100,2,0.8996583635416493,2.9000380781965793e-19
21,3,100,3,0.9293212669683257,7.675590479265216e-23
42,1,42,2,0.8668778280542987,1.9969574297360825e-16
42,1,42,3,0.8800904977375565,1.8069500411390723e-17
42,1,52,1,0.9307692307692308,4.701140504897488e-23
42,1,52,2,0.8972850678733032,4.999525988171003e-19
42,1,52,3,0.8637104072398188,3.419882345845935e-16
42,1,100,1,0.9357466063348416,8.007715019118967e-24
42,1,100,2,0.9320120367099562,3.060213384020795e-23
42,1,100,3,0.8925791855203619,1.4168479753806127e-18
42,2,42,3,0.888235294117647,3.553757353591148e-18
42,2,52,1,0.9304072398190044,5.319364113599393e-23
42,2,52,2,0.9011764705882352,2.0323372501633488e-19
42,2,52,3,0.9155656108597284,5.096947833889004e-21
42,2,100,1,0.9262443438914028,2.1033703682935096e-22
42,2,100,2,0.8785719136165709,2.415279231234744e-17
42,2,100,3,0.9264253393665158,1.9846841694247197e-22
42,3,52,1,0.9113122171945701,1.616313210534707e-20
42,3,52,2,0.9288687782805429,8.927299704155232e-23
42,3,52,3,0.9539366515837103,2.8430537282344548e-27
42,3,100,1,0.9266063348416289,1.872417056390484e-22
42,3,100,2,0.8825539041603625,1.1190677157957277e-17
42,3,100,3,0.9336651583710407,1.706881897050757e-23
52,1,52,2,0.9302262443438915,5.656915602213984e-23
52,1,52,3,0.9239819004524887,4.294438353461425e-22
52,1,100,1,0.9420814479638009,6.777208339966773e-25
52,1,100,2,0.939206769624307,2.147721454768035e-24
52,1,100,3,0.93420814479638,1.4044144466921933e-23
52,2,52,3,0.899185520361991,3.2358983384961205e-19
52,2,100,1,0.9134841628959275,9.032402769439661e-21
52,2,100,2,0.9327360349906456,2.3741143301372998e-23
52,2,100,3,0.9224434389140271,6.890859215695951e-22
52,3,100,1,0.9165610859728507,3.8565169623540156e-21
52,3,100,2,0.8591144598230438,7.291713169103383e-16
52,3,100,3,0.8999095022624434,2.735462053932755e-19
100,1,100,2,0.8964908710636332,5.981283666778605e-19
100,1,100,3,0.9380090497737557,3.4160503507308195e-24
100,2,100,3,0.8938211274035911,1.0814221852830966e-18
