Feature,Mean,Std,Min,Max,Coefficient_of_Variation,Mean_SHAP_Rank
numeric__duration,1.0293808167094283,0.07471936728427948,0.89779298292398,1.1967473293657862,0.07258671044903602,1.0
categorical__contact_unknown,0.4394784183041691,0.031365095838317904,0.38111799249512524,0.4935200228106615,0.07136891035365857,2.0
categorical__month_may,0.28814040392554646,0.01682086443573739,0.2506702569315687,0.31298519826504206,0.05837731955176889,3.0
categorical__month_jul,0.25533858913560387,0.03976477954444356,0.2014048285370522,0.35883044181122997,0.15573352887653613,4.0
categorical__contact_cellular,0.25255141019937327,0.019061658612838407,0.2167060879182063,0.28302043459133963,0.07547634993520899,5.0
categorical__poutcome_unknown,0.2514985324954162,0.02444245645263894,0.1977711842758171,0.3041901423658594,0.09718727266563446,6.0
categorical__housing_yes,0.20077678434322532,0.011759267284461682,0.17785851602586222,0.22178753482588193,0.058568859556787034,7.0
categorical__month_aug,0.1944403563318378,0.02685847705115369,0.15443353959330272,0.2263187119308642,0.13813221472046783,8.0
categorical__housing_no,0.1926865564213713,0.016233283226107564,0.16433466683480183,0.23125746690819066,0.08424709812452226,9.0
numeric__campaign,0.18495102948902747,0.022935206447925183,0.14249990438585303,0.2202446488511936,0.12400691421555916,10.0
categorical__month_nov,0.1614997683552784,0.027862910174530103,0.11824699670549915,0.20084578156361774,0.17252600705429705,11.0
categorical__poutcome_failure,0.1198181026304943,0.015262951291846814,0.09643720459928035,0.14560580490944536,0.12738435141905108,12.0
categorical__poutcome_success,0.09918227985539839,0.03540838653896691,0.04390920431713765,0.1663484854347407,0.357003152081099,13.0
categorical__job_blue-collar,0.07965572472443236,0.022841073302494887,0.04805323530040123,0.12488066005629747,0.28674741685563965,14.0
categorical__loan_yes,0.0788220591033073,0.014271455545806559,0.05877293531796513,0.11007849481372024,0.1810591566391564,15.0
categorical__month_jan,0.07543937887796973,0.024341403504420614,0.04802903859749393,0.12684761104226364,0.32266176984032596,16.0
categorical__marital_married,0.07460333404549196,0.010353032551965053,0.05979507979011656,0.10146575383161427,0.13877439506459502,17.0
categorical__loan_no,0.07446756771135382,0.013626347980106653,0.05280711149137628,0.1010944592583934,0.1829836585092209,18.0
categorical__education_tertiary,0.06997052987528536,0.01609116720051813,0.044367569194201255,0.09819363540409051,0.22997063519740146,19.0
categorical__education_primary,0.06767375754145416,0.015377153086195035,0.03943276249109285,0.08910761608875004,0.2272247566093197,20.0
categorical__marital_single,0.05826632218828754,0.014193442108910468,0.032515702475966225,0.08653911805118662,0.24359598436716803,21.0
categorical__month_jun,0.05306859161230647,0.015463631214552909,0.02289131142159663,0.07273333581196319,0.29138951580857353,22.0
categorical__contact_telephone,0.052255111152076476,0.011778780642133972,0.0348608856493004,0.076674932988303,0.22540915869176015,23.0
categorical__job_retired,0.0465833462200105,0.014069777260391221,0.029657969121746505,0.07067125182081649,0.30203449090884243,24.0
categorical__job_admin.,0.040593314704431366,0.010350812965373043,0.025869497509335704,0.06554529953175678,0.2549881191210802,25.0
categorical__poutcome_other,0.03235788662824287,0.0104056332022287,0.017235911607535886,0.05120305024354622,0.3215795061580558,26.0
categorical__month_mar,0.02947628633236075,0.019777192002618463,0.003667333352088187,0.06735910839356729,0.6709526356074894,27.0
categorical__month_oct,0.028234407635052517,0.01677825355057385,0.009386240057859043,0.0640165017391806,0.594248470428115,28.0
numeric__balance,0.02563684246324675,0.007044505754801433,0.009221360357144773,0.03692957465312986,0.2747805532175232,29.0
categorical__job_student,0.02440416661423485,0.005940783392073393,0.00907522629194058,0.0325019435924184,0.24343315983624528,30.0
numeric__previous,0.023601360967642458,0.009153037900479184,0.010546569424346505,0.04063882969311719,0.38781822425528883,31.0
categorical__job_services,0.023485327956970836,0.011977053760015649,0.0016299783772133357,0.04142806365637092,0.5099802643573755,32.0
categorical__month_sep,0.023005344747030435,0.010737654557376523,0.006956860860127974,0.050466700224337115,0.46674608337536677,33.0
numeric__pdays,0.021006945559954537,0.013387512432080539,8.387759858146763e-05,0.040378774728680636,0.6372898141651352,34.0
categorical__education_secondary,0.020856817008291374,0.01248107547427649,0.0031903679043288847,0.04794230693846599,0.598417077222991,35.0
numeric__day,0.019273070910120916,0.011947076234260699,1.8762084057237673e-05,0.046136781651079775,0.6198844122960654,36.0
categorical__job_technician,0.018425778719377804,0.010756196264762055,0.002268883649240667,0.03786140212062504,0.583758028823504,37.0
categorical__job_housemaid,0.017292606336866998,0.009450438437448038,0.007517590535143364,0.04204780164635307,0.546501681316839,38.0
categorical__month_feb,0.013312822066221716,0.009242136445427276,0.0009518985417346483,0.031316190607286964,0.6942281959042413,39.0
categorical__job_self-employed,0.012633012555793972,0.006951971639469271,0.003977562607125605,0.03553212525880391,0.5503019654865171,40.0
numeric__age,0.012345985400712963,0.011733329316016554,0.0010112613995951903,0.039152541311666456,0.9503760886789134,41.0
categorical__month_apr,0.01127543058100217,0.00747652811457292,0.0007963993153987957,0.02934580745143135,0.6630813839757063,42.0
categorical__job_management,0.009190189168269414,0.0073603430278687465,0.00045604242014941817,0.023042970512345676,0.8008913519736349,43.0
categorical__education_unknown,0.007364175018635353,0.004505068886981489,0.0003746128109589033,0.01923524526376176,0.6117547282052944,44.0
categorical__job_entrepreneur,0.0072110767271486905,0.007774439390711002,0.0005096816405645249,0.022950642647689885,1.078124624779172,45.0
categorical__month_dec,0.006346024341898111,0.0068804219812506826,0.0,0.022554317078340155,1.0842098313150705,46.0
categorical__marital_divorced,0.004740583446636371,0.004960033971518298,0.00021070102016498038,0.01434762100014326,1.0462918810210242,47.0
categorical__job_unemployed,0.003278044248522424,0.0023121981327605136,0.0001440776362533721,0.007078694645367533,0.705359036505604,48.0
categorical__default_yes,0.0025477276684124084,0.00432247979855584,0.00021811620210065053,0.017523583022182255,1.6966019767918725,49.0
