Feature,Mean_Absolute_SHAP,Random_Seed,Fold
numeric__age,0.009031076960190986,42,1
numeric__balance,0.03117043907429712,42,1
numeric__day,0.006924376777206525,42,1
numeric__duration,1.0806984324389508,42,1
numeric__campaign,0.17702552690568052,42,1
numeric__pdays,0.015321287486033144,42,1
numeric__previous,0.03218353617102026,42,1
categorical__job_admin.,0.041117180473915445,42,1
categorical__job_blue-collar,0.04805323530040123,42,1
categorical__job_entrepreneur,0.01775907895438279,42,1
categorical__job_housemaid,0.010242998623139899,42,1
categorical__job_management,0.023042970512345676,42,1
categorical__job_retired,0.05260423881726678,42,1
categorical__job_self-employed,0.010008528529470609,42,1
categorical__job_services,0.00755615827649544,42,1
categorical__job_student,0.028762594650811272,42,1
categorical__job_technician,0.021304051953007448,42,1
categorical__job_unemployed,0.0002392091899227006,42,1
categorical__job_unknown,0.000883356681954007,42,1
categorical__marital_divorced,0.0014892163892565055,42,1
categorical__marital_married,0.06538968373490645,42,1
categorical__marital_single,0.04792857545444167,42,1
categorical__education_primary,0.08910761608875004,42,1
categorical__education_secondary,0.04794230693846599,42,1
categorical__education_tertiary,0.09455996141685404,42,1
categorical__education_unknown,0.011576426820577114,42,1
categorical__default_no,0.001988670454191283,42,1
categorical__default_yes,0.00125394687599106,42,1
categorical__housing_no,0.2096996104918133,42,1
categorical__housing_yes,0.22050953873566703,42,1
categorical__loan_no,0.073695887135632,42,1
categorical__loan_yes,0.07984436339530647,42,1
categorical__contact_cellular,0.28302043459133963,42,1
categorical__contact_telephone,0.03844714102401674,42,1
categorical__contact_unknown,0.4935200228106615,42,1
categorical__month_apr,0.0012654176829292418,42,1
categorical__month_aug,0.22091116064336203,42,1
categorical__month_dec,0.009325281665701752,42,1
categorical__month_feb,0.005897637914764436,42,1
categorical__month_jan,0.08498062552376995,42,1
categorical__month_jul,0.2014048285370522,42,1
categorical__month_jun,0.0716022398073579,42,1
categorical__month_mar,0.02842178779957259,42,1
categorical__month_may,0.31298519826504206,42,1
categorical__month_nov,0.1557570987471601,42,1
categorical__month_oct,0.054138242753024646,42,1
categorical__month_sep,0.020970192658479957,42,1
categorical__poutcome_failure,0.14560580490944536,42,1
categorical__poutcome_other,0.048725480483390114,42,1
categorical__poutcome_success,0.04390920431713765,42,1
categorical__poutcome_unknown,0.23855305455559656,42,1
numeric__age,0.004003366785720373,42,2
numeric__balance,0.02242933535547878,42,2
numeric__day,0.03109106021302314,42,2
numeric__duration,1.011457960100212,42,2
numeric__campaign,0.19005039385165526,42,2
numeric__pdays,0.040378774728680636,42,2
numeric__previous,0.020473297378153905,42,2
categorical__job_admin.,0.028799020214898278,42,2
categorical__job_blue-collar,0.07192169904646802,42,2
categorical__job_entrepreneur,0.0005096816405645249,42,2
categorical__job_housemaid,0.04204780164635307,42,2
categorical__job_management,0.01596325621761098,42,2
categorical__job_retired,0.057777716590052285,42,2
categorical__job_self-employed,0.01163700721196279,42,2
categorical__job_services,0.04142806365637092,42,2
categorical__job_student,0.02093463856832922,42,2
categorical__job_technician,0.03786140212062504,42,2
categorical__job_unemployed,0.005377055935058923,42,2
categorical__job_unknown,0.002698650431834334,42,2
categorical__marital_divorced,0.0014954720120866516,42,2
categorical__marital_married,0.10146575383161427,42,2
categorical__marital_single,0.08653911805118662,42,2
categorical__education_primary,0.03943276249109285,42,2
categorical__education_secondary,0.015915708358073728,42,2
categorical__education_tertiary,0.0506902679997781,42,2
categorical__education_unknown,0.0071415866630806495,42,2
categorical__default_no,0.00024038829292632959,42,2
categorical__default_yes,0.00021811620210065053,42,2
categorical__housing_no,0.18265634136648082,42,2
categorical__housing_yes,0.18084072052237243,42,2
categorical__loan_no,0.07972212602580966,42,2
categorical__loan_yes,0.0786587079291864,42,2
categorical__contact_cellular,0.2577760663230798,42,2
categorical__contact_telephone,0.076674932988303,42,2
categorical__contact_unknown,0.46669674922391396,42,2
categorical__month_apr,0.015653049198892096,42,2
categorical__month_aug,0.15657795099604588,42,2
categorical__month_dec,0.004372490645755038,42,2
categorical__month_feb,0.01741673038003656,42,2
categorical__month_jan,0.08106570674642083,42,2
categorical__month_jul,0.2639955362914831,42,2
categorical__month_jun,0.07273333581196319,42,2
categorical__month_mar,0.013763717616312886,42,2
categorical__month_may,0.26239701207299304,42,2
categorical__month_nov,0.13247738897974132,42,2
categorical__month_oct,0.010561908743336115,42,2
categorical__month_sep,0.031653849423630365,42,2
categorical__poutcome_failure,0.10188275624221477,42,2
categorical__poutcome_other,0.03569513200499323,42,2
categorical__poutcome_success,0.08074306514192628,42,2
categorical__poutcome_unknown,0.26760854700288356,42,2
numeric__age,0.01683052009686713,42,3
numeric__balance,0.01888051923727595,42,3
numeric__day,0.021754858227809877,42,3
numeric__duration,1.0022951264795537,42,3
numeric__campaign,0.2202446488511936,42,3
numeric__pdays,0.0058865221132216,42,3
numeric__previous,0.012405488329360054,42,3
categorical__job_admin.,0.04362140814911219,42,3
categorical__job_blue-collar,0.12488066005629747,42,3
categorical__job_entrepreneur,0.003834777054256127,42,3
categorical__job_housemaid,0.011411234830596828,42,3
categorical__job_management,0.0015285792932816088,42,3
categorical__job_retired,0.03360761402732819,42,3
categorical__job_self-employed,0.00968842064505463,42,3
categorical__job_services,0.03620861043722704,42,3
categorical__job_student,0.03237432915885198,42,3
categorical__job_technician,0.002268883649240667,42,3
categorical__job_unemployed,0.00591996094555011,42,3
categorical__job_unknown,0.00027632208827136826,42,3
categorical__marital_divorced,0.0017687926778066781,42,3
categorical__marital_married,0.05979507979011656,42,3
categorical__marital_single,0.045982569102477694,42,3
categorical__education_primary,0.08357511410590154,42,3
categorical__education_secondary,0.01792045119429463,42,3
categorical__education_tertiary,0.06525650323452033,42,3
categorical__education_unknown,0.002795684547321169,42,3
categorical__default_no,0.0012126656977763314,42,3
categorical__default_yes,0.0019120302319268982,42,3
categorical__housing_no,0.18182715262643867,42,3
categorical__housing_yes,0.1950083221953204,42,3
categorical__loan_no,0.08388951158470113,42,3
categorical__loan_yes,0.09154548346322175,42,3
categorical__contact_cellular,0.2333628330191539,42,3
categorical__contact_telephone,0.04510278429215913,42,3
categorical__contact_unknown,0.39933381073245955,42,3
categorical__month_apr,0.012970112705298537,42,3
categorical__month_aug,0.2145180135251983,42,3
categorical__month_dec,0.022554317078340155,42,3
categorical__month_feb,0.008184629188739558,42,3
categorical__month_jan,0.06227714491924156,42,3
categorical__month_jul,0.2533878878650498,42,3
categorical__month_jun,0.02289131142159663,42,3
categorical__month_mar,0.039517529096745,42,3
categorical__month_may,0.30796493342393844,42,3
categorical__month_nov,0.1878074989953177,42,3
categorical__month_oct,0.013792736523301714,42,3
categorical__month_sep,0.012101095795287741,42,3
categorical__poutcome_failure,0.13638485019244595,42,3
categorical__poutcome_other,0.017235911607535886,42,3
categorical__poutcome_success,0.10177874900230661,42,3
categorical__poutcome_unknown,0.2474802009579834,42,3
numeric__age,0.014039849336224531,7,1
numeric__balance,0.02217083076438874,7,1
numeric__day,0.046136781651079775,7,1
numeric__duration,1.0404059073322416,7,1
numeric__campaign,0.1841588502527583,7,1
numeric__pdays,0.02848881197897054,7,1
numeric__previous,0.023172378238825248,7,1
categorical__job_admin.,0.05044170628423455,7,1
categorical__job_blue-collar,0.048325142894570385,7,1
categorical__job_entrepreneur,0.02197247597407309,7,1
categorical__job_housemaid,0.007517590535143364,7,1
categorical__job_management,0.00837825032499426,7,1
categorical__job_retired,0.06045642754457647,7,1
categorical__job_self-employed,0.009978422991360144,7,1
categorical__job_services,0.02218934102063263,7,1
categorical__job_student,0.00907522629194058,7,1
categorical__job_technician,0.02109880687504734,7,1
categorical__job_unemployed,0.000399214237411575,7,1
categorical__job_unknown,0.0038749269678495166,7,1
categorical__marital_divorced,0.004074124113443448,7,1
categorical__marital_married,0.06670366473319508,7,1
categorical__marital_single,0.05196821341321429,7,1
categorical__education_primary,0.046318247058747666,7,1
categorical__education_secondary,0.01359662388669667,7,1
categorical__education_tertiary,0.09819363540409051,7,1
categorical__education_unknown,0.0059929220825481,7,1
categorical__default_no,0.0008418347627416593,7,1
categorical__default_yes,0.001850673516467844,7,1
categorical__housing_no,0.18883708716303454,7,1
categorical__housing_yes,0.20086103742546688,7,1
categorical__loan_no,0.08562711963352769,7,1
categorical__loan_yes,0.09338598900205967,7,1
categorical__contact_cellular,0.2597525242126668,7,1
categorical__contact_telephone,0.04518563382048492,7,1
categorical__contact_unknown,0.4717255061261371,7,1
categorical__month_apr,0.010189574802957057,7,1
categorical__month_aug,0.1704733310317973,7,1
categorical__month_dec,0.0033097240510722025,7,1
categorical__month_feb,0.00541283371437758,7,1
categorical__month_jan,0.07593833078682681,7,1
categorical__month_jul,0.2584605475111656,7,1
categorical__month_jun,0.04738505532181421,7,1
categorical__month_mar,0.06735910839356729,7,1
categorical__month_may,0.3070806178889702,7,1
categorical__month_nov,0.19976937832279687,7,1
categorical__month_oct,0.025181768527802014,7,1
categorical__month_sep,0.026093126803354127,7,1
categorical__poutcome_failure,0.13569713855468912,7,1
categorical__poutcome_other,0.03480190600511271,7,1
categorical__poutcome_success,0.10411985574365093,7,1
categorical__poutcome_unknown,0.3041901423658594,7,1
numeric__age,0.004484140991796001,7,2
numeric__balance,0.03458193387207373,7,2
numeric__day,0.023281371338913337,7,2
numeric__duration,0.9468491648339548,7,2
numeric__campaign,0.17424672526966073,7,2
numeric__pdays,0.005813309789246412,7,2
numeric__previous,0.022749550689335873,7,2
categorical__job_admin.,0.03339313612328087,7,2
categorical__job_blue-collar,0.07806600540036866,7,2
categorical__job_entrepreneur,0.00347612030906384,7,2
